time,group,per_admit,x_labels
1,1,0.455868089,2013-1
2,1,0.424065421,2013-2
3,1,0.453012048,2013-3
4,1,0.450611477,2013-4
5,1,0.453974895,2013-5
6,1,0.474613687,2013-6
7,1,0.464763604,2013-7
8,1,0.457762557,2013-8
9,1,0.430434783,2013-9
10,1,0.446376812,2013-10
11,1,0.479558011,2013-11
12,1,0.434738956,2013-12
13,1,0.453,2014-1
14,1,0.417045455,2014-2
15,1,0.413461538,2014-3
16,1,0.417085427,2014-4
17,1,0.468932039,2014-5
18,1,0.438528558,2014-6
19,1,0.435768262,2014-7
20,1,0.470056497,2014-8
21,1,0.424390244,2014-9
22,1,0.404672897,2014-10
23,1,0.432835821,2014-11
24,1,0.431635389,2014-12
25,1,0.434782609,2015-1
26,1,0.432657926,2015-2
27,1,0.451041667,2015-3
28,1,0.404588113,2015-4
29,1,0.455767077,2015-5
30,1,0.443452381,2015-6
31,1,0.421709894,2015-7
32,1,0.413978495,2015-8
33,1,0.480662983,2015-9
34,1,0.445714286,2015-10
35,1,0.442449842,2015-11
36,1,0.454545455,2015-12
37,1,0.507608696,2016-1
38,1,0.412474849,2016-2
39,1,0.474452555,2016-3
40,1,0.425245098,2016-4
41,1,0.469223007,2016-5
42,1,0.458724203,2016-6
43,1,0.437563452,2016-7
44,1,0.438223938,2016-8
45,1,0.442115768,2016-9
46,1,0.437242798,2016-10
47,1,0.445825933,2016-11
48,1,0.440999139,2016-12
49,1,0.463855422,2017-1
50,1,0.427672956,2017-2
51,1,0.475121951,2017-3
52,1,0.435810811,2017-4
53,1,0.457245725,2017-5
54,1,0.434034417,2017-6
1,0,0.375104428,2013-1
2,0,0.362428843,2013-2
3,0,0.380846325,2013-3
4,0,0.342062193,2013-4
5,0,0.368063112,2013-5
6,0,0.363891487,2013-6
7,0,0.358490566,2013-7
8,0,0.402460984,2013-8
9,0,0.36906585,2013-9
10,0,0.374967337,2013-10
11,0,0.379666667,2013-11
12,0,0.400246305,2013-12
13,0,0.401579587,2014-1
14,0,0.37191461,2014-2
15,0,0.348241913,2014-3
16,0,0.369686801,2014-4
17,0,0.361219922,2014-5
18,0,0.336113428,2014-6
19,0,0.351173021,2014-7
20,0,0.385229541,2014-8
21,0,0.377176015,2014-9
22,0,0.357002526,2014-10
23,0,0.382352941,2014-11
24,0,0.396957948,2014-12
25,0,0.408387762,2015-1
26,0,0.4,2015-2
27,0,0.377310924,2015-3
28,0,0.378472222,2015-4
29,0,0.38047138,2015-5
30,0,0.366908482,2015-6
31,0,0.36255991,2015-7
32,0,0.386705018,2015-8
33,0,0.392320534,2015-9
34,0,0.400525088,2015-10
35,0,0.394269341,2015-11
36,0,0.417049369,2015-12
37,0,0.412551768,2016-1
38,0,0.404526167,2016-2
39,0,0.395934172,2016-3
40,0,0.387549588,2016-4
41,0,0.386988943,2016-5
42,0,0.388800425,2016-6
43,0,0.386811305,2016-7
44,0,0.385703266,2016-8
45,0,0.382641921,2016-9
46,0,0.400927948,2016-10
47,0,0.389460154,2016-11
48,0,0.417331813,2016-12
49,0,0.425652057,2017-1
50,0,0.426391097,2017-2
51,0,0.416958479,2017-3
52,0,0.409144197,2017-4
53,0,0.409421139,2017-5
54,0,0.416197372,2017-6
